<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.04.02	08:00:00	1.23168	1.23317	1.23117	1.23289	6005	0	1
2018.04.02	12:00:00	1.23288	1.23450	1.23266	1.23357	7940	0	1
2018.04.02	16:00:00	1.23358	1.23373	1.22811	1.22941	25899	0	1
2018.04.02	20:00:00	1.22940	1.23071	1.22881	1.23016	13622	0	1
2018.04.03	00:00:00	1.23018	1.23049	1.22921	1.23033	8127	0	1
2018.04.03	04:00:00	1.23034	1.23116	1.22969	1.23095	5835	0	1
2018.04.03	08:00:00	1.23096	1.23360	1.23034	1.23167	24583	0	1
2018.04.03	12:00:00	1.23166	1.23190	1.22861	1.22957	25009	0	1
2018.04.03	16:00:00	1.22957	1.22989	1.22536	1.22664	33065	0	1
2018.04.03	20:00:00	1.22664	1.22741	1.22604	1.22699	10076	0	1
2018.04.04	00:00:00	1.22699	1.22808	1.22641	1.22787	4115	0	1
2018.04.04	04:00:00	1.22787	1.22871	1.22742	1.22781	4455	0	1
2018.04.04	08:00:00	1.22781	1.23147	1.22570	1.22906	16839	0	1
2018.04.04	12:00:00	1.22904	1.23007	1.22708	1.22967	14790	0	1
2018.04.04	16:00:00	1.22967	1.23098	1.22867	1.22937	18810	0	1
2018.04.04	20:00:00	1.22937	1.22943	1.22738	1.22777	8663	0	1
2018.04.05	00:00:00	1.22774	1.22903	1.22771	1.22862	4195	0	1
2018.04.05	04:00:00	1.22861	1.22893	1.22746	1.22766	4137	0	1
2018.04.05	08:00:00	1.22766	1.22789	1.22490	1.22651	12693	0	1
2018.04.05	12:00:00	1.22651	1.22837	1.22354	1.22499	17184	0	1
2018.04.05	16:00:00	1.22499	1.22687	1.22183	1.22361	22218	0	1
2018.04.05	20:00:00	1.22361	1.22410	1.22242	1.22401	6404	0	1
2018.04.06	00:00:00	1.22394	1.22543	1.22369	1.22489	8127	0	1
2018.04.06	04:00:00	1.22489	1.22599	1.22339	1.22383	8454	0	1
2018.04.06	08:00:00	1.22383	1.22424	1.22149	1.22350	19932	0	1
2018.04.06	12:00:00	1.22350	1.22567	1.22194	1.22477	23192	0	1
2018.04.06	16:00:00	1.22477	1.22800	1.22440	1.22756	29548	0	1
2018.04.06	20:00:00	1.22756	1.22908	1.22677	1.22809	10622	0	1
2018.04.09	00:00:00	1.22794	1.22833	1.22654	1.22748	6908	0	1
2018.04.09	04:00:00	1.22748	1.22773	1.22658	1.22772	7449	0	1
2018.04.09	08:00:00	1.22772	1.22864	1.22602	1.22799	21903	0	1
2018.04.09	12:00:00	1.22800	1.23136	1.22621	1.23132	17449	0	1
2018.04.09	16:00:00	1.23132	1.23309	1.23071	1.23181	15489	0	1
2018.04.09	20:00:00	1.23181	1.23255	1.23127	1.23204	8685	0	1
2018.04.10	00:00:00	1.23184	1.23289	1.23176	1.23252	4755	0	1
2018.04.10	04:00:00	1.23252	1.23268	1.23066	1.23184	8954	0	1
2018.04.10	08:00:00	1.23184	1.23352	1.23027	1.23248	19281	0	1
2018.04.10	12:00:00	1.23248	1.23776	1.23182	1.23484	22870	0	1
2018.04.10	16:00:00	1.23484	1.23681	1.23241	1.23403	21563	0	1
2018.04.10	20:00:00	1.23403	1.23613	1.23399	1.23557	9014	0	1
2018.04.11	00:00:00	1.23550	1.23651	1.23501	1.23609	5601	0	1
2018.04.11	04:00:00	1.23609	1.23642	1.23526	1.23637	4773	0	1
2018.04.11	08:00:00	1.23637	1.23872	1.23621	1.23771	15731	0	1
2018.04.11	12:00:00	1.23771	1.23964	1.23622	1.23753	19676	0	1
2018.04.11	16:00:00	1.23753	1.23930	1.23681	1.23746	20610	0	1
2018.04.11	20:00:00	1.23746	1.23780	1.23469	1.23669	11448	0	1
2018.04.12	00:00:00	1.23657	1.23798	1.23627	1.23759	6112	0	1
2018.04.12	04:00:00	1.23757	1.23782	1.23570	1.23584	5777	0	1
2018.04.12	08:00:00	1.23584	1.23738	1.23450	1.23458	14809	0	1
2018.04.12	12:00:00	1.23458	1.23516	1.23120	1.23157	24954	0	1
2018.04.12	16:00:00	1.23156	1.23361	1.22992	1.23342	20380	0	1
2018.04.12	20:00:00	1.23342	1.23403	1.23243	1.23261	8039	0	1
2018.04.13	00:00:00	1.23255	1.23328	1.23237	1.23285	4175	0	1
2018.04.13	04:00:00	1.23285	1.23334	1.23214	1.23289	4273	0	1
2018.04.13	08:00:00	1.23289	1.23459	1.23173	1.23350	17388	0	1
2018.04.13	12:00:00	1.23350	1.23398	1.23070	1.23160	14883	0	1
2018.04.13	16:00:00	1.23160	1.23441	1.23158	1.23418	15118	0	1
2018.04.13	20:00:00	1.23418	1.23425	1.23272	1.23290	7877	0	1
2018.04.16	00:00:00	1.23289	1.23401	1.23231	1.23390	4969	0	1
2018.04.16	04:00:00	1.23390	1.23427	1.23310	1.23310	4126	0	1
2018.04.16	08:00:00	1.23310	1.23685	1.23240	1.23645	14575	0	1
2018.04.16	12:00:00	1.23645	1.23831	1.23565	1.23813	13161	0	1
2018.04.16	16:00:00	1.23813	1.23945	1.23625	1.23827	15946	0	1
2018.04.16	20:00:00	1.23828	1.23840	1.23744	1.23792	4735	0	1
2018.04.17	00:00:00	1.23783	1.23876	1.23783	1.23835	3235	0	1
2018.04.17	04:00:00	1.23835	1.23879	1.23757	1.23823	3702	0	1
2018.04.17	08:00:00	1.23823	1.24137	1.23817	1.23853	13668	0	1
2018.04.17	12:00:00	1.23853	1.23870	1.23452	1.23476	14178	0	1
2018.04.17	16:00:00	1.23476	1.23613	1.23360	1.23551	16764	0	1
2018.04.17	20:00:00	1.23551	1.23761	1.23539	1.23692	7684	0	1
2018.04.18	00:00:00	1.23689	1.23748	1.23662	1.23701	3263	0	1
2018.04.18	04:00:00	1.23700	1.23823	1.23648	1.23773	4586	0	1
